实体类型,ID,名称,难度,内容,存储开销,核心特性,时间复杂度,空间复杂度,设计思想,适用场景
概念,01CON022,结构类型,入门,由简单类型或其他结构类型数据按一定规则构造而成的数据类型，如数组、记录等。,,,,,,
数据结构,01DS005,数组,入门,数目固定的具有同一类型的数据元素的顺序组合，具有线性结构特点，可通过下标访问。,连续存储空间，大小固定,可索引性，定长,,,,
数据结构,01DS006,记录,入门,多个不同（或相同）类型的数组据线性结构排列而成，可通过成员运算符访问域。,连续存储空间，大小固定，等于各域之和,组合性，异构性,,,,
概念,01CON023,抽象数据类型,入门,由一种数据结构和在其上的所有操作所组成，强调逻辑结构和操作说明，隐藏实现细节。,,,,,,
概念,01CON024,数据对象,入门,属于一种数据类型中的特定实例或值。,,,,,,
概念,01CON025,算法,入门,解决特定问题或执行特定计算而设计的一系列明确、有限的步骤。具有有穷性、确定性、可行性、输入、输出五个特性。,,,,,,
算法,01ALG001,累加求和,入门,计算一组数（如数组元素）的总和。,,,O(n),O(1),迭代,求和计算
算法,01ALG002,矩阵相加,入门,将两个相同维度的矩阵对应位置的元素相加。,,,O(n^2),O(1),迭代,矩阵运算
算法,01ALG003,简单选择排序,入门,每次从未排序部分选取最小（或最大）元素放到已排序部分的末尾。,,,O(n^2),O(1),选择,小规模数据排序
算法,01ALG004,顺序查找,入门,按顺序逐个比较元素，直到找到目标元素或遍历完所有元素。,,,"O(n) (平均/最差), O(1) (最好)",O(1),线性扫描,无序或小规模数据查找
概念,01CON026,时间复杂度,入门,算法运行时间的相对度量，通常表示为问题规模n的函数，常用大O表示法（数量级）。,,,,,,
概念,01CON027,空间复杂度,入门,算法在运行过程中临时占用存储空间大小的量度，衡量算法对内存资源的需求。,,,,,,
概念,01CON028,正确性,入门,算法在合理输入下能在有限时间内得出正确结果的特性。,,,,,,
概念,01CON029,稳健性,入门,算法对不合理数据输入的反应和处理能力。,,,,,,
概念,01CON030,可读性,入门,算法供人阅读和理解的容易程度。,,,,,,
概念,01CON031,数量级,入门,"时间复杂度或空间复杂度的一种简化表示，关注函数随规模增长的主要趋势，如O(n), O(n^2)。",,,,,,
概念,01CON032,递归,中等,一个函数直接或间接调用自身的过程或结构。,,,,,,
概念,01CON033,非递归,入门,不使用递归调用实现的算法，通常使用循环等结构。,,,,,,
概念,01CON034,顺序存储,入门,把逻辑上相邻的数据元素存储在物理位置也相邻的存储单元中的方法。,,,,,,
概念,01CON035,链式存储,入门,数据元素的存储单元不一定连续，通过指针域将元素链接起来的存储方法。,,,,,,
概念,01CON036,索引存储,中等,在存储数据信息的同时，还建立附加的索引表来标识结点的地址的存储方法。,,,,,,
概念,01CON037,散列存储,中等,根据结点的关键字直接计算出该结点的存储地址的存储方法，也称哈希存储。,,,,,,
概念,01CON038,有穷性,入门,算法必须在执行有穷步之后结束。,,,,,,
概念,01CON039,确定性,入门,算法中的每一步都必须具有确切的含义，无二义性。,,,,,,
概念,01CON040,可行性,入门,算法中的每一步都必须是可行的，能够通过有限次操作在有限时间内实现。,,,,,,
概念,01CON041,输入,入门,算法可以有零个或多个输入量。,,,,,,
概念,01CON042,输出,入门,算法执行结束后至少要有一个输出量。,,,,,,
数据结构,02DS001,线性表,入门,具有相同属性的数据元素的一个有限序列。元素之间存在一对一的线性关系，有表头元素和表尾元素，除表头外每个元素有唯一前驱，除表尾外每个元素有唯一后继。是包括顺序表、链表等具体数据结构的一种抽象数据类型（ADT）。,取决于具体实现（顺序或链式）,序列性、有限性、元素类型相同,,,,
数据结构,02DS002,顺序表,入门,线性表的一种实现方式，指用一组地址连续的存储单元依次存储线性表的数据元素。通常使用数组实现。,存储密度高，需要预先分配连续空间，可能存在空间浪费或不足。,支持随机访问（O(1)时间复杂度访问元素），插入和删除操作平均需要移动大量元素（O(n)时间复杂度）。,,,,
算法,02ALG001,初始化列表,入门,创建一个空的线性表。对于顺序表，通常是分配存储空间并将长度设为0；对于链表，通常是将头指针设为空或指向头结点。,,,O(1)（链表）或 O(1)/O(MaxSize)（顺序表，取决于是否需要初始化空间）,O(1) 或 O(MaxSize)（取决于实现）,初始化,使用线性表前
算法,02ALG002,清除列表,入门,删除线性表中的所有元素，使其成为空表。对于顺序表，通常是将长度设为0；对于链表，需要遍历并释放所有结点。,,,O(1)（顺序表）或 O(n)（链表）,O(1),资源释放/重置,重用列表结构或释放内存
算法,02ALG003,获取列表长度,入门,返回线性表中元素的个数。,,,O(1)（顺序表，若长度字段已维护）或 O(n)（链表，若无长度字段）,O(1),计数/查询,获取列表大小信息
算法,02ALG004,判空列表,入门,判断线性表是否包含元素。,,,O(1),O(1),状态检查,在操作前检查列表状态
算法,02ALG005,获取元素,入门,返回线性表中指定位置（序号）的元素值。,,,O(1)（顺序表）或 O(n)（链表）,O(1),按位置访问,读取特定位置的数据
算法,02ALG006,遍历列表,入门,按逻辑顺序访问线性表中的每一个元素。,,,O(n),O(1),顺序访问,处理或显示所有元素
算法,02ALG007,查找元素,入门,在线性表中查找第一个值等于给定值的元素。,,,O(n)（顺序查找）,O(1),搜索,定位特定元素
算法,02ALG008,更新元素,入门,修改线性表中第一个值等于给定值的元素。,,,O(n)（顺序查找定位）,O(1),搜索与修改,修改特定元素的值
算法,02ALG009,插入元素,入门,在线性表的指定位置插入一个新的元素。顺序表需要移动后续元素，链表需要修改指针。,,,O(n)（顺序表平均情况，链表查找位置）,O(1)（通常）或 O(n)（顺序表扩容时）,修改结构,向列表中添加数据
算法,02ALG010,删除元素,入门,从线性表中删除指定位置或指定值的元素。顺序表需要移动后续元素，链表需要修改指针。,,,O(n)（顺序表平均情况，链表查找位置）,O(1),修改结构,从列表中移除数据
算法,02ALG011,排序列表,中等,将线性表中的元素按照某种规则（如升序或降序）重新排列。,,,取决于具体排序算法，如插入排序为 O(n^2),取决于具体排序算法，如插入排序为 O(1),排序,需要有序数据时
算法,02ALG012,插入排序,入门,一种简单的排序算法，通过构建有序序列，对于未排序数据，在已排序序列中从后向前扫描，找到相应位置并插入。分为直接插入排序、折半插入排序、希尔排序等。,,,O(n^2)（平均和最坏），O(n)（最好）,O(1),增量构建,基本有序或小规模数据
数据结构,02DS004,链表,入门,线性表的一种实现方式，通过一组任意的存储单元（可以不连续）来存储线性表的数据元素。每个存储单元称为结点，除了存储数据外，还存储指向下一个（或上一个）结点的指针。,每个元素需要额外的指针空间。,插入和删除操作通常只需修改指针（O(1)时间复杂度，若位置已知），访问元素需要顺序遍历（O(n)时间复杂度）。,,,,
概念,02CON005,指针,入门,一个变量，其值为另一个变量的地址，即内存位置的直接地址。在链表中用于链接结点。,,,,,,
数据结构,02DS005,单链表,入门,链表的一种，每个结点只包含一个指向其直接后继结点的指针域。,每个结点一个指针域。,只能单向遍历。,,,,
数据结构,02DS006,双向链表,中等,链表的一种，每个结点包含两个指针域，一个指向直接前驱结点，一个指向直接后继结点。,每个结点两个指针域。,可以双向遍历，方便查找前驱结点。,,,,
数据结构,02DS007,循环链表,中等,链表的一种变体，表中最后一个结点的指针域指向头结点（或第一个元素结点），形成一个环。可以是循环单链表或循环双向链表。,与单链表或双向链表相同。,从任一结点出发可遍历整个链表。,,,,
算法,02ALG013,多项式求值,入门,计算给定x值时一个多项式P(x)的值。可以使用线性表（顺序表或链表）表示多项式系数或非零项（系数+指数）来进行计算。,,,O(n)（若使用秦九韶算法）或更高（取决于幂运算实现和多项式表示）,O(1)（若不考虑存储多项式的空间）,数值计算、累加,数学计算
算法,02ALG014,多项式加法,中等,计算两个多项式 P1(x) 和 P2(x) 的和 P3(x)。通常使用链表表示非零项，通过合并两个有序链表（按指数排序）来实现。,,,O(m+n)，其中m和n分别为两个多项式的项数。,O(m+n)（用于存储结果多项式）,合并、归并,符号计算、代数运算
数据结构,03DS002,稀疏矩阵,中等,非零元素的个数远远小于零元素的个数的矩阵。通常使用三元组线性表来存储非零元素以节省空间。,主要取决于非零元素的个数，远小于使用二维数组存储整个矩阵的开销。,稀疏性,,,,
数据结构,03DS003,广义表,中等,线性表的推广，是n(n≥0)个元素的一个有限序列，其元素可以是单元素或子表。是一种递归的数据结构。,通常采用动态链接结构，开销取决于元素和子表的总数及嵌套深度。,递归结构、元素可以是原子或子表,,,,
概念,03CON001,空集,入门,不包含任何元素的集合，其长度为0。,,,,,,
概念,03CON002,集合的抽象数据类型,入门,定义了集合的数据（一个集合S）和操作（如初始化、清空、求长度、判空、判断元素归属、插入、删除、并、交、差等）。,,,,,,
算法,03ALG001,初始化集合,入门,将集合设置为空集。对于动态顺序存储，分配初始空间并将长度置0；对于链式存储，将头指针置NULL。,,,O(1),O(1)（不计结构本身空间）,初始化,创建新的集合对象时。
算法,03ALG002,清除集合,入门,移除集合中的所有元素。对于动态存储，需要释放分配的空间。,,,O(1)（顺序动态数组释放）或 O(n)（链表逐个释放）,O(1),资源释放,销毁集合对象或重用前清空。
算法,03ALG003,求集合长度,入门,返回集合中元素的个数。,,,O(1)（顺序存储）或 O(n)（链式存储）,O(1),计数,获取集合大小。
算法,03ALG004,判断集合是否为空,入门,检查集合长度是否为0。,,,O(1),O(1),状态检查,在进行某些操作（如删除）前检查集合状态。
算法,03ALG005,判断元素是否属于集合,入门,在集合中查找是否存在指定元素。,,,O(n),O(1),顺序查找,检查元素成员资格。
算法,03ALG006,输出集合元素,入门,遍历并打印集合中的所有元素。可以实现无序输出或有序输出（需额外排序）。,,,O(n)（无序）或 O(n^2)（若使用简单选择排序等进行有序输出）,O(1)（无序）或 O(n)（有序输出临时数组）,遍历,展示集合内容。
算法,03ALG007,查找集合元素,入门,在集合中查找指定元素，若找到则返回该元素的完整信息。,,,O(n),O(1),顺序查找,获取集合中特定元素的数据。
算法,03ALG008,修改集合元素,入门,在集合中查找指定元素（通常通过关键字），若找到则用新值更新该元素。,,,O(n),O(1),查找与更新,更新集合中已存在的元素信息。
算法,03ALG009,向集合插入元素,入门,首先检查元素是否已存在，若不存在则添加到集合中。对于顺序存储，可能需要检查空间并进行扩容。,,,平均O(n)（查找）+ 可能的O(n)（扩容）或 O(1)（链表头插）,O(1)（均摊）,查找与添加,向集合中增加新元素。
算法,03ALG010,从集合删除元素,入门,在集合中查找指定元素，若找到则移除。对于顺序存储，通常用末尾元素填补空位；对于链式存储，修改指针。,,,O(n),O(1),查找与移除,从集合中移除元素。
算法,03ALG011,求集合并集,入门,计算两个集合S1和S2的并集，结果存入新集合S。将S1复制到S，然后将S2中不在S中的元素插入S。,,,O(n*m)（基本实现）,O(n+m)（结果集）,合并与去重,计算两个集合的所有元素的组合。
算法,03ALG012,求集合交集,入门,计算两个集合S1和S2的交集，结果存入新集合S。遍历S2，检查每个元素是否在S1中，若在则插入S。,,,O(n*m),"O(min(n, m))（结果集）",查找共同元素,找出两个集合共有的元素。
算法,03ALG013,求集合差集,入门,计算两个集合S1和S2的差集 (S1-S2)，结果存入新集合S。遍历S1，检查每个元素是否在S2中，若不在则插入S。,,,O(n*m),O(n)（结果集）,排除共同元素,找出只存在于第一个集合而不存在于第二个集合的元素。
概念,03CON005,三元组,入门,"由三个数据项组成的有序对，在稀疏矩阵中通常指 (行号, 列号, 元素值)。",,,,,,
数据结构,03DS005,三元组线性表,入门,"用一个线性表（顺序或链式）存储稀疏矩阵的非零元素的三元组 (行号, 列号, 值)，通常按行号主序、列号辅序排列。",存储非零元素的个数 * 3 + 存储矩阵维度信息。,紧凑存储稀疏矩阵非零元,,,,
算法,03ALG014,稀疏矩阵转置,中等,"计算稀疏矩阵的转置矩阵，即将原矩阵的(i, j)处的元素放到新矩阵的(j, i)处。有普通转置和快速转置等方法。",,,依赖具体实现（如O(n*t)或O(n+t)),O(t)（存储转置结果）,行列互换,需要对稀疏矩阵进行转置操作时。
算法,03ALG015,普通转置,中等,一种稀疏矩阵转置算法，按列扫描原三元组表，将对应列的元素转换后写入新的三元组表。,,,O(列数 * 非零元素数),O(非零元素数),按列扫描转换,实现稀疏矩阵转置的基础方法。
算法,03ALG016,快速转置,中等,一种优化的稀疏矩阵转置算法，通过两次扫描三元组表完成。第一次统计每列非零元个数确定在新表中的起始位置，第二次直接放置元素。,,,O(列数 + 非零元素数),O(列数 + 非零元素数),空间换时间、预计算位置,高效进行稀疏矩阵转置。
算法,03ALG017,稀疏矩阵加法,中等,计算两个相同维度的稀疏矩阵的和。通常需要遍历两个矩阵的三元组表（或链表），合并对应位置的元素。,,,O(M1.t + M2.t)（对于链接存储）,O(M1.t + M2.t)（最坏情况）,按行（或整体）合并,计算两个稀疏矩阵的和。
概念,03CON006,行指针向量,中等,在稀疏矩阵的带行指针向量的链接存储中，用于存储每一行对应单链表的头指针的一维数组。,,,,,,
概念,03CON007,十字链接存储,中等,稀疏矩阵的一种链式存储结构，每个非零元素结点同时属于所在行的链表和所在列的链表，需要行、列两个指针向量。,,,,,,
概念,03CON008,单元素,入门,在广义表中，指非列表类型的基本数据元素，也称原子。,,,,,,
概念,03CON009,子表,入门,在广义表中，指作为另一个广义表元素的表。,,,,,,
概念,03CON010,深度,入门,广义表中括号嵌套的最大层数。空表或仅含单元素的表深度为1。,,,,,,
算法,03ALG018,求广义表长度,入门,计算广义表顶层元素的个数。可通过遍历顶层链表实现，递归或非递归均可。,,,O(n)（n为顶层元素个数）,O(1)（非递归）或 O(n)（递归）,遍历计数,获取广义表顶层的元素数量。
算法,03ALG019,求广义表深度,中等,计算广义表中括号嵌套的最大层数。通常使用递归实现，深度等于所有子表深度的最大值加1。,,,O(N)（N为表中结点总数）,O(m)（m为广义表深度，递归栈开销）,递归遍历,分析广义表的嵌套层级。
算法,03ALG020,建立广义表,中等,"根据给定的字符串表示（如'(a,(b,c))'）构建广义表的链接存储结构。通常使用递归实现。",,,O(N)（N为输入字符串长度或结点数）,O(N)（递归栈开销）,递归构建,从外部表示创建广义表内存结构。
算法,03ALG021,打印广义表,中等,将广义表的链接存储结构转换回其字符串表示形式并输出。通常使用递归实现。,,,O(N)（N为表中结点总数）,O(m)（m为广义表深度，递归栈开销）,递归遍历与格式化输出,展示广义表内容。
数据结构,04DS001,栈,入门,一种运算受限的线性表，仅允许在表的一端（栈顶）进行插入（入栈）和删除（出栈）运算。具有后进先出（LIFO）的特性。也称堆栈。,顺序存储需要预分配空间或动态扩展，链式存储需要额外指针开销。,后进先出 (LIFO),,,,
数据结构,04DS002,队列,入门,一种运算受限的线性表，允许在表的一端（队尾）进行插入（入队），在另一端（队首）进行删除（出队）。具有先进先出（FIFO）的特性。,顺序存储（循环队列）需要预分配空间或动态扩展，链式存储需要额外指针开销。,先进先出 (FIFO),,,,
数据结构,04DS004,循环队列,入门,利用取模运算将顺序存储的队列空间视为一个环状空间，以解决顺序队列的“假溢出”问题。,固定大小数组，可能牺牲一个存储单元以区分队空和队满，或使用计数器。,先进先出 (FIFO)、空间循环利用,,,,
数据结构,04DS005,优先级队列,中等,一种特殊的队列，其中的元素带有优先级。出队时，优先级最高的元素最先出队。通常使用堆实现。,通常基于堆实现，存储开销类似堆。,按优先级出队,,,,
概念,04CON001,栈顶,入门,栈允许进行插入和删除操作的一端。栈顶元素是最后插入且最先被删除的元素。,,,,,,
概念,04CON002,栈底,入门,栈不允许进行插入和删除操作的一端，与栈顶相对。,,,,,,
概念,04CON003,队首,入门,队列允许进行删除操作的一端。队首元素是最先进入队列且最先被删除的元素。,,,,,,
概念,04CON004,队尾,入门,队列允许进行插入操作的一端。新元素总是插入到队尾。,,,,,,
概念,04CON005,后进先出,入门,"Last-In, First-Out (LIFO)。描述了栈的操作特性，即最后进入栈的元素最先离开栈。",,,,,,
概念,04CON006,先进先出,入门,"First-In, First-Out (FIFO)。描述了队列的操作特性，即最先进入队列的元素最先离开队列。",,,,,,
概念,04CON008,中缀表示,入门,一种常见的算术表达式表示法，其中运算符位于其操作数之间。计算时需要考虑运算符优先级和括号。,,,,,,
概念,04CON009,后缀表示,入门,"也称为逆波兰表示法（Reverse Polish Notation, RPN）。一种算术表达式表示法，其中运算符位于其操作数之后。计算时无需考虑优先级和括号，通常使用栈进行求值。",,,,,,
算法,04ALG001,入栈,入门,将元素添加到栈顶的操作。顺序栈中top指针加1并赋值，链栈中创建新节点并修改头指针。,,,O(1)（顺序栈不考虑扩容）,O(1),栈的基本操作,向栈中添加元素
算法,04ALG002,出栈,入门,删除并（可选地）返回栈顶元素的操作。顺序栈中取值并top指针减1，链栈中取值、修改头指针并释放原头结点。,,,O(1),O(1),栈的基本操作,从栈中移除并获取元素
算法,04ALG003,读取栈顶元素,入门,返回栈顶元素的值，但不删除它。,,,O(1),O(1),栈的基本操作,查看栈顶元素而不修改栈
算法,04ALG004,判断栈空,入门,检查栈中是否包含元素。,,,O(1),O(1),栈的基本操作,执行出栈或读取栈顶前的检查
算法,04ALG005,初始化栈,入门,创建一个空栈。顺序栈中设置top为-1或0（取决于实现），链栈中设置头指针为NULL。,,,O(1),O(1)（不计存储空间本身）,栈的构造,使用栈之前
算法,04ALG006,清空栈,入门,移除栈中所有元素，使其变为空栈，并可能释放相关资源。,,,O(1)（顺序栈），O(n)（链栈，需遍历释放节点）,O(1),栈的重置或销毁,重用栈或释放内存
算法,04ALG007,入队,入门,将元素添加到队尾的操作。,,,O(1)（循环队列不考虑扩容，链队需要维护尾指针）,O(1),队列的基本操作,向队列中添加元素
算法,04ALG008,出队,入门,删除并（可选地）返回队首元素的操作。,,,O(1),O(1),队列的基本操作,从队列中移除并获取元素
算法,04ALG009,读取队首元素,入门,返回队首元素的值，但不删除它。,,,O(1),O(1),队列的基本操作,查看队首元素而不修改队列
算法,04ALG010,判断队列空,入门,检查队列中是否包含元素。,,,O(1),O(1),队列的基本操作,执行出队或读取队首前的检查
算法,04ALG011,初始化队列,入门,创建一个空队列。循环队列中设置front=rear=0，链队中设置front=rear=NULL。,,,O(1),O(1)（不计存储空间本身）,队列的构造,使用队列之前
算法,04ALG012,清空队列,入门,移除队列中所有元素，使其变为空队列，并可能释放相关资源。,,,O(1)（循环队列），O(n)（链队，需遍历释放节点）,O(1),队列的重置或销毁,重用队列或释放内存
算法,04ALG013,后缀表达式求值,中等,使用栈计算后缀表示（逆波兰表示）的算术表达式的值。遇到操作数则入栈，遇到运算符则弹出所需操作数进行计算，结果再入栈。,,,O(n),O(n)（栈空间）,栈应用,计算无需括号和优先级的表达式
算法,04ALG014,中缀转后缀,中等,将中缀表示的算术表达式转换为等价的后缀表示。使用栈来暂存运算符，根据运算符优先级和括号规则进行转换。,,,O(n),O(n)（栈空间）,栈应用,表达式求值预处理
算法,04ALG015,括号配对检查,入门,"检查一个包含括号（如(), [], {}）的字符串中的括号是否正确配对。使用栈，遇到左括号入栈，遇到右括号检查栈顶是否匹配，若匹配则出栈，否则错误。",,,O(n),O(n)（栈空间）,栈应用,语法检查、代码编辑
算法,04ALG016,进制转换,入门,将一个十进制数转换为其他进制（如二进制、八进制、十六进制）的表示。通常使用除基取余法，将余数依次入栈，最后依次出栈得到结果。,,,O(log_r N)，r为目标基数，N为数值,O(log_r N)（栈空间）,栈应用,数值表示转换
算法,04ALG017,递归阶乘,入门,使用递归方法计算非负整数n的阶乘 (n!)。递归关系为 f(n) = n * f(n-1)，基本情况为 f(0) = 1。,,,O(n),O(n)（递归栈深度）,递归,教学示例、简单递归问题
算法,04ALG018,布尔量组合输出,中等,输出n个布尔变量所有可能的2^n种取值组合。通常使用递归实现，每次递归决定一位是0还是1。,,,O(n * 2^n)（包含输出时间）,O(n)（递归栈深度）,递归、回溯,组合生成、状态枚举
算法,04ALG019,全排列,中等,生成n个不同元素的所有n!种排列顺序。通常使用递归和交换策略实现。,,,O(n * n!)（包含输出时间）,O(n)（递归栈深度）,递归、回溯,排列生成、组合优化问题探索
算法,04ALG020,迷宫求解,中等,寻找从迷宫入口到出口的一条路径。可以使用递归（深度优先搜索）或队列（广度优先搜索）实现。递归方法中系统隐式使用栈，非递归DFS显式使用栈。,,,"O(m*n)（m, n为迷宫维度）",O(m*n)（递归栈深度或辅助空间）,递归、回溯、深度优先搜索、栈应用,路径查找、图搜索
算法,04ALG021,汉诺塔,中等,解决经典的汉诺塔问题，将n个盘子从源柱借助辅助柱移动到目标柱。标准的解决方案是递归的。,,,O(2^n),O(n)（递归栈深度）,递归、分治,教学示例、递归思维训练
算法,04ALG022,渡口管理模拟,中等,模拟轮船渡口的车辆管理，根据特定规则（车辆类型、到达顺序、装载限制）安排车辆上船。通常使用队列来管理等待的车辆。,,,取决于模拟的复杂度和事件数量,O(N)（N为等待车辆数，队列空间）,队列应用、模拟,事件驱动模拟、资源调度
数据结构,05DS001,树,入门,重要的非线性数据结构，由n(n>=0)个有限结点组成一个具有层次关系的集合。递归定义：空树或由一个根结点及m(m>=0)棵互不相交的子树构成。,依赖于具体存储方式（顺序、链式）,层次结构、递归定义、非线性,,,,
概念,05CON002,子树,入门,非空树中除根结点外，其余结点按关系划分成的m(m>=0)棵互不相交的树，每棵子树本身也是一棵树。,,,,,,
概念,05CON004,度,入门,结点的度指结点拥有的子树（或后继结点）的个数。树的度指树中所有结点度的最大值。,,,,,,
概念,05CON007,孩子结点,入门,一个结点的子树的根结点，也称为该结点的子女或后继。,,,,,,
概念,05CON008,双亲结点,入门,孩子结点的前驱结点，也称为父结点。,,,,,,
概念,05CON009,兄弟结点,入门,具有相同双亲结点的孩子结点。,,,,,,
概念,05CON012,有序树,入门,树中任意结点的各子树是按一定次序从左到右排列的，不能互换次序。,,,,,,
概念,05CON013,无序树,入门,树中任意结点的各子树之间没有次序关系，可以任意交换位置。,,,,,,
概念,05CON014,森林,入门,m(m>=0)棵互不相交的树的集合。,,,,,,
数据结构,05DS002,二叉树,入门,度不超过2的有序树。递归定义：空树或由一个根结点和两棵互不相交的左、右子树组成，左右子树也都是二叉树。,依赖顺序或链式存储,有序性、度最多为2、左右子树不能任意互换,,,,
概念,05CON015,k叉树,中等,树的度为k的树，即每个结点的度最多为k。,,,,,,
数据结构,05DS003,满二叉树,中等,深度为h且具有2^h-1个结点的二叉树。除叶子结点外，每个结点的度都为2。,若用顺序存储则无空间浪费,结构规整、每层结点数满,,,,
数据结构,05DS004,完全二叉树,中等,深度为h，具有n个结点的二叉树，其结点编号与深度为h的满二叉树中编号1到n的结点一一对应。特性是除最后一层外，其余各层均是满的，且最后一层的结点都连续集中在最左边。,适合顺序存储，空间利用率高,结点编号与数组下标有对应关系、堆的基础结构,,,,
数据结构,05DS005,理想平衡二叉树,中等,除最后一层外，其余各层都是满的二叉树，最后一层结点可以任意分布。包含满二叉树和完全二叉树。,依赖具体实现,层数尽可能少，深度接近log2(n),,,,
数据结构,05DS006,二叉树顺序存储,入门,使用一维数组存储二叉树结点，通常按层序遍历的顺序将结点存入数组，空结点用特定值表示。通过下标计算父子关系。,对于完全二叉树空间效率高，对于一般二叉树（尤其单支树）可能浪费大量空间。,利用数组下标隐式表示结点关系、适合完全二叉树,,,,
数据结构,05DS007,二叉链表,入门,二叉树的链式存储结构，每个结点包含数据域、指向左孩子的指针域和指向右孩子的指针域。,每个结点需要额外存储两个指针的空间,灵活表示任意形态二叉树、插入删除操作相对方便,,,,
概念,05CON016,树根指针,入门,在树的链式存储结构中，指向树的根结点的指针。,,,,,,
算法,05ALG001,二叉树遍历,入门,按照特定规则访问二叉树中的所有结点，且每个结点仅被访问一次。常见的有前序、中序、后序、层序遍历。,,,O(n),O(h) 或 O(w),递归或迭代（使用栈或队列）,访问、处理、查找、复制、销毁树中所有结点
算法,05ALG002,前序遍历,入门,二叉树遍历的一种方式：先访问根结点，然后前序遍历左子树，再前序遍历右子树 (DLR)。,,,O(n),O(h) (递归栈),递归,构建表达式树的前缀表示、树的复制
算法,05ALG003,中序遍历,入门,二叉树遍历的一种方式：先中序遍历左子树，然后访问根结点，再中序遍历右子树 (LDR)。,,,O(n),O(h) (递归栈),递归,对二叉搜索树进行排序输出
算法,05ALG004,后序遍历,入门,二叉树遍历的一种方式：先后序遍历左子树，再后序遍历右子树，最后访问根结点 (LRD)。,,,O(n),O(h) (递归栈),递归,计算表达式树的值、释放树结点空间
算法,05ALG005,层序遍历,入门,二叉树遍历的一种方式：从上到下、从左到右逐层访问结点。,,,O(n),O(w) (w为树的最大宽度，使用队列),迭代 (使用队列),求树的宽度、图的广度优先搜索
算法,05ALG006,初始化二叉树,入门,创建一个空的二叉树，通常是将根指针置为NULL。,,,O(1),O(1),赋值,开始构建新树之前
算法,05ALG007,建立二叉树,中等,根据给定的输入序列（如广义表、前序+中序序列等）构造二叉树的内存表示（通常是二叉链表）。,,,O(n),O(h) (递归或栈),递归或迭代（栈辅助）,从外部数据源恢复或构建二叉树结构
算法,05ALG008,判空二叉树,入门,检查二叉树是否为空树。,,,O(1),O(1),判断根指针是否为NULL,在对树进行操作前进行检查
算法,05ALG009,求二叉树深度,入门,计算二叉树的最大层数。,,,O(n),O(h) (递归栈),"递归（深度 = max(左子树深度, 右子树深度) + 1）",分析树的平衡性、评估算法空间复杂度
算法,05ALG010,查找二叉树结点,入门,在二叉树中搜索具有特定值的结点。,,,O(n) (最坏情况，对于非搜索树),O(h) (递归栈),递归遍历（类似前序）,定位树中特定数据
