关系类型,源实体,目标实体
使用,层序遍历,队列
操作绑定,初始化二叉树,二叉树
操作绑定,建立二叉树,二叉树
使用,建立二叉树,二叉链表
使用,建立二叉树,栈
操作绑定,判空二叉树,二叉树
操作绑定,求二叉树深度,二叉树
理论依赖,求二叉树深度,深度
操作绑定,查找二叉树结点,二叉树
操作绑定,输出二叉树,二叉树
操作绑定,清除二叉树,二叉树
使用,清除二叉树,后序遍历
使用,树的顺序存储,树
理论依赖,树的顺序存储,k叉树
使用,树的标准链接存储,树
变体,树的广义标准链接存储,树的标准链接存储
使用,树的二叉树表示法,树
使用,树的二叉树表示法,二叉链表
理论依赖,树的二叉树表示法,兄弟结点
操作绑定,树遍历,树
继承,先根遍历,树遍历
继承,后根遍历,树遍历
继承,树的层序遍历,树遍历
使用,树的层序遍历,队列
操作绑定,建立树,树
使用,建立树,树的标准链接存储
使用,建立树,栈
操作绑定,查找树结点,树
操作绑定,输出树,树
操作绑定,求树深度,树
理论依赖,求树深度,深度
操作绑定,清除树,树
使用,清除树,后根遍历
继承,二叉搜索树,二叉树
继承,哈夫曼树,二叉树
继承,线索二叉树,二叉树
继承,平衡二叉树,二叉搜索树
使用,堆,完全二叉树
继承,完全二叉树,二叉树
操作绑定,二叉搜索树查找,二叉搜索树
操作绑定,二叉搜索树更新,二叉搜索树
操作绑定,二叉搜索树插入,二叉搜索树
操作绑定,二叉搜索树删除,二叉搜索树
操作绑定,堆插入,堆
操作绑定,堆删除,堆
理论依赖,构造哈夫曼树,树的带权路径长度
使用,构造哈夫曼树,哈夫曼树
使用,哈夫曼编码,哈夫曼树
理论依赖,线索二叉树,线索
操作绑定,二叉树线索化,线索二叉树
操作绑定,中序线索二叉树遍历,线索二叉树
理论依赖,平衡二叉树,平衡因子
操作绑定,LL型调整,平衡二叉树
操作绑定,RR型调整,平衡二叉树
操作绑定,LR型调整,平衡二叉树
操作绑定,RL型调整,平衡二叉树
理论依赖,路径长度,路径
理论依赖,带权路径长度,路径长度
理论依赖,带权路径长度,结点的权
理论依赖,树的带权路径长度,带权路径长度
理论依赖,哈夫曼树,树的带权路径长度
理论依赖,图,结点
理论依赖,图,边
继承,有向边,边
继承,无向边,边
继承,有向图,图
理论依赖,有向图,有向边
继承,无向图,图
理论依赖,无向图,无向边
理论依赖,邻接点,结点
理论依赖,邻接点,边
理论依赖,出边,有向边
理论依赖,入边,有向边
理论依赖,度,结点
理论依赖,度,边
理论依赖,入度,度
理论依赖,入度,入边
理论依赖,出度,度
理论依赖,出度,出边
理论依赖,完全图,图
理论依赖,稠密图,完全图
理论依赖,稀疏图,完全图
理论依赖,子图,图
理论依赖,路径,图
继承,回路,路径
继承,简单路径,路径
继承,简单回路,回路
继承,简单回路,简单路径
理论依赖,连通,路径
理论依赖,连通,无向图
理论依赖,连通图,连通
理论依赖,非连通图,连通
理论依赖,连通分量,连通图
理论依赖,连通分量,子图
理论依赖,强连通图,路径
理论依赖,强连通图,有向图
理论依赖,强连通分量,强连通图
理论依赖,强连通分量,子图
理论依赖,权,边
继承,带权图,图
理论依赖,带权图,权
操作绑定,初始化图,图
操作绑定,创建图,图
操作绑定,遍历图,图
使用,图,邻接矩阵
理论依赖,邻接矩阵,稠密图
使用,图,邻接表
理论依赖,邻接表,稀疏图
使用,图,边集数组
理论依赖,边集数组,稀疏图
变体,逆邻接表,邻接表
使用,有向图,逆邻接表
变体,十字邻接表,邻接表
变体,十字邻接表,逆邻接表
使用,有向图,十字邻接表
继承,深度优先搜索,遍历图
继承,广度优先搜索,遍历图
继承,深度优先生成树,生成树
继承,广度优先生成树,生成树
继承,最小生成树,生成树
操作绑定,深度优先搜索,有向图
操作绑定,广度优先搜索,有向图
使用,深度优先搜索,栈
使用,广度优先搜索,队列
操作绑定,普里姆算法,最小生成树
操作绑定,克鲁斯卡尔算法,最小生成树
使用,普里姆算法,邻接矩阵
使用,克鲁斯卡尔算法,边集数组
理论依赖,克鲁斯卡尔算法,连通分量
理论依赖,生成树,连通图
理论依赖,生成树,回路
理论依赖,生成树,子图
理论依赖,生成树,极小连通子图
继承,最小生成树,连通网
理论依赖,最小生成树,权
理论依赖,狄克斯特拉算法,最短路径
使用,狄克斯特拉算法,邻接矩阵
理论依赖,狄克斯特拉算法,源点
理论依赖,弗洛伊德算法,最短路径
使用,弗洛伊德算法,邻接矩阵
操作绑定,拓扑排序,有向无环图
使用,拓扑排序,邻接表
使用,拓扑排序,栈
理论依赖,拓扑排序,入度
理论依赖,拓扑排序,拓扑序列
继承,顶点活动网,有向无环图
理论依赖,顶点活动网,活动
理论依赖,顶点活动网,前驱活动
理论依赖,死锁,回路
继承,边活动网,有向无环图
理论依赖,边活动网,活动
理论依赖,边活动网,事件
理论依赖,边活动网,权
理论依赖,边活动网,持续时间
操作绑定,关键路径算法,边活动网
理论依赖,关键路径算法,关键路径
使用,关键路径算法,拓扑排序
理论依赖,关键路径算法,最早发生时间
理论依赖,关键路径算法,最迟发生时间
理论依赖,关键路径算法,开始时间余量
理论依赖,关键路径,关键活动
理论依赖,关键活动,开始时间余量
理论依赖,最早发生时间,最长路径
理论依赖,最早发生时间,拓扑有序
理论依赖,最迟发生时间,逆拓扑有序
继承,连通网,带权图
理论依赖,连通网,连通图
理论依赖,最短路径,路径
理论依赖,最短路径,路径长度
理论依赖,最短距离,最短路径
理论依赖,集合结构,数据结构
理论依赖,线性结构,数据结构
理论依赖,树形结构,数据结构
理论依赖,图形结构,数据结构
继承,线性表,线性结构
继承,树,树形结构
继承,图,图形结构
继承,生成树,树
继承,有向无环图,有向图
使用,优先级队列,堆
理论依赖,数组,顺序存储
理论依赖,链表,链式存储
理论依赖,后续活动,活动
