记录类型,实体类型,ID,名称,难度,内容,存储开销,核心特性,时间复杂度,空间复杂度,设计思想,适用场景,关系类型,源实体,目标实体
实体,概念,01CON016,散列存储,入门,一种基本的存储结构（物理结构）实现方法，根据元素的关键字直接计算出该元素的存储地址，也称哈希存储。,,,,,,,,,
实体,概念,01CON017,结点,入门,数据结构中数据元素的图形表示，也称为顶点（Vertex）。在线性结构、树形结构和图形结构中广泛使用。,,,,,,,,,
实体,概念,01CON018,有向边,入门,在图形结构中表示两个结点之间有向关系的连线，也称为弧（Arc）。边从起始结点指向终止结点。,,,,,,,,,
实体,概念,01CON019,直接前驱,入门,"在线性结构或序偶关系 <x, y> 中，元素 x 是元素 y 的直接前驱。",,,,,,,,,
实体,概念,01CON020,直接后继,入门,"在线性结构或序偶关系 <x, y> 中，元素 y 是元素 x 的直接后继。",,,,,,,,,
实体,概念,01CON021,树根结点,入门,在树形结构中，没有直接前驱的唯一结点。,,,,,,,,,
实体,概念,01CON022,树叶结点,入门,在树形结构中，没有直接后继（度为0）的结点。,,,,,,,,,
实体,概念,01CON023,树枝结点,入门,在树形结构中，除了树根结点和树叶结点之外的中间结点。有时树根结点也视为特殊的树枝结点。,,,,,,,,,
实体,概念,01CON024,类,中等,面向对象程序设计中的核心概念，是创建对象的蓝图或模板。在C++中常用于实现抽象数据类型，封装数据成员和成员函数（操作）。,,,,,,,,,
实体,概念,01CON025,数据记录,入门,数据处理领域组织数据的基本单位，由一个或多个数据项组成。文件通常由多条记录构成。,,,,,,,,,
实体,数据结构,02DS001,线性表,入门,具有相同属性的数据元素的一个有限序列。序列中所含元素的个数称为线性表的长度。元素之间具有一对一的前驱和后继关系（首元素无前驱，尾元素无后继）。是线性结构的典型代表。,取决于具体的存储实现（顺序或链式）。,元素之间逻辑上呈线性有序，长度可变。,,,,,,,
实体,数据结构,02DS002,顺序表,入门,使用顺序存储结构实现的线性表。通常使用数组实现。需要预先分配存储空间，可能存在空间浪费或溢出问题（动态数组可缓解）。,主要为n个元素占用的连续空间，加上存储长度等信息的辅助变量。通常为 n * sizeof(ElemType) + O(1)。,支持随机访问（通过下标访问元素时间复杂度为O(1)），插入和删除操作平均需要移动大量元素（时间复杂度为O(n)）。,,,,,,,
实体,数据结构,02DS003,链表,入门,使用链式存储结构实现的线性表。由一系列结点组成，结点之间通过指针链接。根据指针域的不同可分为单向链表、双向链表、循环链表等。,每个结点都需要存储数据和指针，总开销为 n * (sizeof(ElemType) + 指针数量 * sizeof(pointer))。,插入和删除操作效率高（若已知位置，时间复杂度为O(1)），无需预估存储空间，但访问元素需要顺序遍历（时间复杂度为O(n)）。,,,,,,,
实体,数据结构,02DS004,单向链表,入门,链表的一种基本形式。每个结点只包含一个指向其直接后继结点的指针域。,n * (sizeof(ElemType) + sizeof(pointer))。,只能从头到尾单向遍历。查找前驱结点困难。,,,,,,,
实体,概念,02CON004,表头指针,入门,一个指向链表中第一个有效数据结点的指针变量。对于空链表，其值为NULL。,,,,,,,,,
实体,数据结构,02DS005,双向链表,入门,链表的一种形式。每个结点包含两个指针域，一个指向直接前驱结点，一个指向直接后继结点。,n * (sizeof(ElemType) + 2 * sizeof(pointer))。,支持双向遍历，方便查找前驱和后继结点，插入删除操作相对单链表稍微复杂。,,,,,,,
实体,概念,02CON005,表头附加结点,入门,在链表的第一个有效数据结点之前额外增加的一个结点，也称为哑结点(Dummy Node)。该结点不存储实际数据，其指针域指向第一个有效数据结点。它可以统一对链表（包括空表和非空表）的首结点操作，简化插入和删除算法的实现。,,,,,,,,,
实体,数据结构,02DS006,循环链表,入门,链表的一种变体。表中最后一个结点的指针域不再为空，而是指向链表的第一个结点（或表头附加结点），形成一个环状结构。可以是单向循环链表或双向循环链表。,与对应的非循环链表（单向或双向）相同。,可以从表中任一结点出发遍历整个链表。适用于需要循环处理数据的场景，如约瑟夫问题。,,,,,,,
实体,算法,02ALG001,初始化线性表,入门,创建一个空的线性表实例。对于顺序表，通常是分配数组空间并设置长度为0；对于链表，通常是将头指针设为NULL或创建表头附加结点。,,,O(1),O(1) 或 O(MaxSize)（取决于是否为静态数组）,初始化,使用线性表之前。,,,
实体,算法,02ALG002,清除线性表,入门,删除线性表中的所有元素，使其变为空表。对于动态分配内存的顺序表或链表，还需要释放所有结点占用的内存空间。,,,O(1)（顺序表仅重置长度），O(n)（链表需要遍历释放）,O(1),重置/遍历释放,销毁或重用线性表。,,,
实体,算法,02ALG003,求线性表长度,入门,返回线性表中当前包含的元素个数。,,,O(1)（带长度属性的顺序表或链表），O(n)（不带长度属性的链表需要遍历）,O(1),访问属性/遍历计数,获取线性表的大小。,,,
实体,算法,02ALG004,判断线性表是否为空,入门,检查线性表中是否没有任何元素。,,,O(1),O(1),检查长度属性或头指针,进行操作前的状态判断。,,,
实体,算法,02ALG005,获取线性表元素,入门,根据给定的位置序号（通常从1开始）返回线性表中对应元素的值。,,,O(1)（顺序表），O(n)（链表需要遍历查找）,O(1),直接索引（顺序表）/顺序遍历（链表）,访问线性表中特定位置的元素。,,,
实体,算法,02ALG006,遍历线性表,入门,按照元素的逻辑顺序访问线性表中的每一个元素，且每个元素仅访问一次。,,,O(n),O(1),迭代/递归,处理线性表中的所有元素，如打印、计算总和等。,,,
实体,算法,02ALG007,查找线性表元素,入门,在线性表中查找第一个值等于给定值的元素，返回其位置或是否存在。,,,O(n)（顺序查找）,O(1),顺序比较,确定某个元素是否在线性表中或找到其位置。,,,
实体,算法,02ALG008,更新线性表元素,入门,在线性表中查找指定元素（按值或按位置），并用新值替换其旧值。,,,O(n)（需要先查找）,O(1),查找 + 赋值,修改线性表中已存在的元素值。,,,
实体,算法,02ALG009,插入线性表元素,入门,在（或按条件确定）线性表的指定位置插入一个新的数据元素。,,,O(n)（顺序表需要移动元素，链表需要查找位置），O(1)（特定情况，如链表头插或尾插且有尾指针）,O(1)（忽略动态扩容开销）,移动元素（顺序表）/修改指针（链表）,向线性表中增加数据。,,,
实体,算法,02ALG010,删除线性表元素,入门,从线性表中删除指定位置的元素或第一个值等于给定值的元素。,,,O(n)（顺序表需要移动元素，链表需要查找位置），O(1)（特定情况，如链表头删或已知前驱结点）,O(1),移动元素（顺序表）/修改指针（链表）,从线性表中移除数据。,,,
实体,算法,02ALG011,排序线性表,入门,将线性表中的元素按照某种规则（如值的升序或降序）重新排列。,,,取决于所用排序算法，本章示例为O(n^2)（插入排序）,取决于所用排序算法，本章示例为O(1)或O(n),比较、交换/移动元素,需要有序访问线性表元素时。,,,
实体,算法,02ALG012,插入排序,入门,一种简单的排序算法。将线性表分为已排序和未排序两部分，每次从未排序部分取出一个元素，插入到已排序部分的合适位置，直到所有元素都排好序。,,,O(n^2)（平均和最坏情况），O(n)（最好情况）,O(1)（原地排序）,比较、插入、移动,数据量较小，或数据基本有序的情况。,,,
实体,概念,02CON006,多项式,入门,数学概念，表示为变量的幂与其系数乘积之和。例如 P(x) = a_n*x^n + ... + a_1*x + a_0。在本章中作为线性表应用的一个实例，讨论其表示和运算。,,,,,,,,,
实体,算法,02ALG013,多项式求值,入门,给定变量x的值，计算多项式P(x)的结果。可以使用线性表存储多项式系数或非零项进行计算。,,,O(n)（n为多项式项数，使用线性表遍历计算，未考虑幂运算复杂度）,O(1),遍历、累加、幂运算,计算多项式在特定点的值。,,,
实体,算法,02ALG014,多项式加法,中等,计算两个多项式P1(x)和P2(x)的和，生成结果多项式P3(x)。需要合并两个多项式中指数相同的项。,,,"O(m+n)（m, n分别为两个多项式非零项的个数，使用有序链表归并实现）",O(m+n)（存储结果多项式）,归并、链表操作,符号计算、代数运算。,,,
实体,概念,02CON007,随机存取,入门,一种数据存取方式，访问存储器中任何位置的数据所需时间都是相同或相近的，与数据所在的物理位置无关。数组（顺序存储）支持随机存取。,,,,,,,,,
实体,概念,02CON008,顺序存取,入门,一种数据存取方式，必须按照特定的线性顺序访问数据。访问第n个元素前必须先访问前面的n-1个元素。链表是典型的顺序存取结构。,,,,,,,,,
实体,数据结构,03DS002,集合的顺序存储,入门,使用数组存储集合元素，并用一个变量记录当前长度。元素存储顺序任意，插入通常在末尾进行，删除时用末尾元素填补空位，以提高效率。,O(MaxSize)，可能存在空间浪费或需要动态扩展。,基于数组实现，随机访问（虽然对集合意义不大），插入删除（特定策略下）O(1)（不考虑查找）。,,,,,,,
实体,算法,03ALG001,初始化集合为空（顺序存储）,入门,为存储集合的数组分配内存空间（静态或动态），并将集合长度置为0。,,,O(1)（静态）或 O(MaxSize)（动态初始化）,O(1),初始化,创建新的顺序存储集合实例。,,,
实体,算法,03ALG002,清除集合（顺序存储）,入门,若使用动态内存，则释放数组空间并将长度和容量置为0；若为静态数组，则仅将长度置为0。,,,O(1) 或 O(n) （取决于是否需要释放元素）,O(1),资源管理,销毁或重置顺序存储的集合。,,,
实体,算法,03ALG003,求集合长度（顺序存储）,入门,返回存储当前集合元素数量的变量值。,,,O(1),O(1),状态获取,获取顺序存储集合的大小。,,,
实体,算法,03ALG004,判断集合是否为空（顺序存储）,入门,检查集合长度是否为0。,,,O(1),O(1),状态检查,判断顺序存储的集合是否包含元素。,,,
实体,算法,03ALG005,判断元素是否属于集合（顺序存储）,入门,遍历数组，查找是否存在指定元素。,,,O(n),O(1),顺序查找,检查元素在顺序存储集合中的存在性。,,,
实体,算法,03ALG006,输出集合元素（顺序存储）,入门,遍历数组，依次输出每个元素。,,,O(n),O(1),遍历,展示顺序存储集合的所有内容。,,,
实体,算法,03ALG007,有序输出集合元素（顺序存储）,入门,将集合元素复制到临时数组，使用排序算法（如简单选择排序）排序后输出。,,,O(n^2) (使用简单选择排序),O(n) (临时数组),排序、遍历,按特定顺序展示顺序存储集合的内容，同时不改变原集合。,,,
实体,算法,03ALG008,查找集合元素（顺序存储）,入门,顺序查找具有特定关键字的元素，找到则返回完整元素信息。,,,O(n),O(1),顺序查找,在顺序存储的集合中根据关键字检索元素的完整信息。,,,
实体,算法,03ALG009,修改集合元素（顺序存储）,入门,顺序查找具有特定关键字的元素，找到则用新值替换。,,,O(n),O(1),顺序查找、更新,更新顺序存储集合中某个元素的值。,,,
实体,算法,03ALG010,向集合插入元素（顺序存储）,入门,首先检查元素是否存在（防止重复），若不存在且空间足够（或动态扩展后），则在数组末尾添加元素并增加长度。,,,O(n) (主要耗时在查重),O(1) (不考虑动态扩展时的复制开销),顺序查找、插入、空间管理,向顺序存储的集合添加新元素。,,,
实体,算法,03ALG011,从集合删除元素（顺序存储）,入门,顺序查找指定元素，找到后用数组最后一个元素覆盖该位置，然后长度减1。可选择在空间利用率低时缩减数组空间。,,,O(n) (主要耗时在查找),O(1) (不考虑动态缩减时的复制开销),顺序查找、删除（覆盖法）、空间管理,从顺序存储的集合移除指定元素。,,,
实体,算法,03ALG012,求两集合并集（顺序存储）,中等,将第一个集合复制到结果集合，然后遍历第二个集合，将不在结果集合中的元素插入结果集合。,,,"O(n*m) (n, m分别为两集合大小)",O(n+m) (结果集),复制、遍历、插入（查重）,计算两个顺序存储集合的并集。,,,
实体,算法,03ALG013,求两集合交集（顺序存储）,中等,遍历一个集合（如S2），对于其中每个元素，检查它是否存在于另一个集合（S1）中，若存在则加入结果集合。,,,O(n*m),"O(min(n,m)) 或 O(k) (k为交集大小)",遍历、查找,计算两个顺序存储集合的交集。,,,
实体,算法,03ALG014,求两集合差集（顺序存储）,中等,遍历第一个集合（S1），对于其中每个元素，检查它是否存在于第二个集合（S2）中，若不存在则加入结果集合。,,,O(n*m),O(n) 或 O(k) (k为差集大小),遍历、查找,计算两个顺序存储集合的差集 (S1 - S2)。,,,
实体,算法,03ALG015,简单选择排序,入门,每次从未排序部分选取最小（或最大）元素，放到已排序部分的末尾。,,,O(n^2),O(1),选择,数据量小的排序，教学演示。,,,
实体,算法,03ALG016,顺序查找,入门,从列表（如数组）的开头逐个比较元素，直到找到目标元素或遍历完列表。,,,O(n),O(1),线性扫描,无序列表查找，或列表较小的情况。,,,
实体,数据结构,03DS003,集合的链接存储,入门,使用链表（通常是单链表）存储集合元素，每个节点包含元素值和指向下一个节点的指针。元素在链表中的顺序任意。,O(n)，每个元素需要额外存储指针。,基于链表实现，动态大小，插入删除（特定位置，如表头）O(1)（不考虑查找）。,,,,,,,
实体,算法,03ALG017,初始化集合为空（链接存储）,入门,将链表的头指针设置为空（NULL）。,,,O(1),O(1),初始化,创建新的链接存储集合实例。,,,
实体,算法,03ALG018,清除集合（链接存储）,入门,遍历链表，逐个释放所有节点的内存空间，最后将头指针置为空。,,,O(n),O(1),遍历、资源管理,销毁链接存储的集合。,,,
实体,算法,03ALG019,求集合长度（链接存储）,入门,遍历链表，计数节点数量。,,,O(n),O(1),遍历、计数,获取链接存储集合的大小。,,,
实体,算法,03ALG020,判断集合是否为空（链接存储）,入门,检查链表的头指针是否为空。,,,O(1),O(1),状态检查,判断链接存储的集合是否包含元素。,,,
实体,算法,03ALG021,判断元素是否属于集合（链接存储）,入门,遍历链表，查找是否存在包含指定元素的节点。,,,O(n),O(1),顺序查找,检查元素在链接存储集合中的存在性。,,,
实体,算法,03ALG022,输出集合元素（链接存储）,入门,遍历链表，依次输出每个节点的数据域。,,,O(n),O(1),遍历,展示链接存储集合的所有内容。,,,
实体,算法,03ALG023,查找集合元素（链接存储）,入门,遍历链表查找具有特定关键字的节点，找到则返回节点信息。,,,O(n),O(1),顺序查找,在链接存储的集合中根据关键字检索元素的完整信息。,,,
实体,算法,03ALG024,修改集合元素（链接存储）,入门,遍历链表查找具有特定关键字的节点，找到则用新值更新该节点的数据域。,,,O(n),O(1),顺序查找、更新,更新链接存储集合中某个元素的值。,,,
实体,算法,03ALG025,向集合插入元素（链接存储）,入门,首先检查元素是否存在（防止重复），若不存在，则创建新节点，通常插入到链表头部（效率高）。,,,O(n) (主要耗时在查重),O(1),顺序查找、插入（头插法）,向链接存储的集合添加新元素。,,,
实体,算法,03ALG026,从集合删除元素（链接存储）,入门,遍历链表查找指定元素所在的节点及其前驱节点，找到后修改前驱节点的指针以跳过当前节点，并释放当前节点的内存。,,,O(n) (主要耗时在查找),O(1),顺序查找、删除（指针修改）,从链接存储的集合移除指定元素。,,,
实体,算法,03ALG027,求两集合并集（链接存储）,中等,将第一个集合复制到结果集合链表，然后遍历第二个集合链表，将不在结果链表中的元素插入结果链表。,,,"O(n*m) (n, m分别为两集合大小)",O(n+m) (结果集),复制、遍历、插入（查重）,计算两个链接存储集合的并集。,,,
实体,算法,03ALG028,求两集合交集（链接存储）,中等,遍历一个集合链表（如S2），对于其中每个元素，在另一个集合链表（S1）中查找是否存在，若存在则将该元素插入结果链表。,,,O(n*m),"O(min(n,m)) 或 O(k) (k为交集大小)",遍历、查找,计算两个链接存储集合的交集。,,,
实体,算法,03ALG029,求两集合差集（链接存储）,中等,遍历第一个集合链表（S1），对于其中每个元素，在第二个集合链表（S2）中查找是否存在，若不存在则将该元素插入结果链表。,,,O(n*m),O(n) 或 O(k) (k为差集大小),遍历、查找,计算两个链接存储集合的差集 (S1 - S2)。,,,
实体,数据结构,03DS005,稀疏矩阵,中等,矩阵中非零元素的个数远小于零元素个数的矩阵。为了节省存储空间和计算时间，通常只存储非零元素的信息（行号、列号、值）。,取决于非零元素个数t，远小于m*n。,稀疏性，空间优化存储,,,,,,,
实体,概念,03CON001,矩阵,入门,一个m行n列的数表，包含m*n个元素，每个元素由其行号和列号唯一确定。,,,,,,,,,
实体,数据结构,03DS006,三元组线性表,中等,"用于表示稀疏矩阵的一种线性结构，表中每个元素是一个三元组(i, j, value)，分别表示非零元素的行号、列号和值。通常按行号主序、列号辅序排列。",O(t)，t为非零元素个数。,线性结构，有序性（按行列）,,,,,,,
实体,数据结构,03DS007,稀疏矩阵的顺序存储,中等,使用数组（结构数组）存储稀疏矩阵对应的三元组线性表。通常还需要存储矩阵的行数、列数和非零元素总数。,O(t)，t为非零元素个数。,基于数组，按序存储三元组。,,,,,,,
实体,数据结构,03DS008,稀疏矩阵的链接存储,中等,使用链式结构存储稀疏矩阵的三元组。常见的有带行指针向量的链表和十字链表。,O(t)，每个三元组需要额外的指针开销。,基于链表，动态存储。,,,,,,,
实体,数据结构,03DS009,带行指针向量的链接存储,中等,一种稀疏矩阵的链接存储方式。使用一个指针数组（行指针向量），每个元素指向对应行的非零元素单链表的头结点。同一行内的节点按列号升序链接。,O(m+t)，m为行数，t为非零元素数。,按行快速访问，行内有序。,,,,,,,
实体,数据结构,03DS010,十字链接存储,中等,一种稀疏矩阵的链接存储方式。每个非零元素节点包含行号、列号、值，以及指向同一行下一个节点的指针和指向同一列下一个节点的指针。同时使用行指针向量和列指针向量。,O(m+n+t)，m为行数，n为列数，t为非零元素数。,按行、按列均可快速访问。,,,,,,,
实体,算法,03ALG030,初始化稀疏矩阵,入门,根据不同的存储结构（顺序、行指针向量、十字链表），初始化矩阵的行数、列数、非零元个数为0，并初始化相应的存储结构（如清空数组、将指针向量置空）。,,,O(1) 或 O(m) 或 O(m+n),O(1),初始化,创建新的稀疏矩阵实例。,,,
实体,算法,03ALG031,输入稀疏矩阵（顺序存储）,入门,"读取矩阵的行数、列数，然后逐个读取非零元素的三元组(行, 列, 值)，按顺序存入三元组数组，直到遇到结束标记（如0,0,0）。最后记录非零元素总数。",,,O(t)，t为非零元素个数。,O(1),数据加载、序列化,从外部源（如键盘）构建顺序存储的稀疏矩阵。,,,
实体,算法,03ALG032,输入稀疏矩阵（十字链表）,中等,读取矩阵的行数、列数，然后逐个读取非零元素的三元组，为每个三元组创建新的十字链表节点，并将其正确链接到对应行链表和列链表的末尾。最后记录非零元素总数。,,,O(t * (行链表平均长度 + 列链表平均长度))，若优化插入位置则可改善,O(t),数据加载、链表操作,从外部源构建十字链表存储的稀疏矩阵。,,,
实体,算法,03ALG033,输出稀疏矩阵（顺序存储）,入门,遍历存储三元组的数组，按指定格式（如三元组线性表）输出每个非零元素的行号、列号和值。,,,O(t)，t为非零元素个数。,O(1),遍历、格式化输出,展示顺序存储的稀疏矩阵的内容。,,,
实体,算法,03ALG034,稀疏矩阵转置（普通转置）,中等,"对原矩阵（顺序存储）按列扫描。对每一列col，遍历原三元组列表，找到所有列号为col的元素，将其(行,列,值)转换为(列,行,值)后，按原行号（即新列号）顺序存入结果三元组列表。",,,O(n*t)，n为原矩阵列数，t为非零元素数。,O(t) (结果矩阵),按列扫描、转置,计算稀疏矩阵的转置，实现简单但效率不高。,,,
实体,算法,03ALG035,稀疏矩阵转置（快速转置）,中等,通过两次遍历实现高效转置。第一次遍历统计原矩阵每一列的非零元素个数，并计算转置后每一行（即原每一列）的起始存储位置。第二次遍历将原三元组按计算好的位置直接放入结果三元组列表。,,,O(n+t)，n为原矩阵列数，t为非零元素数。,O(n+t) (结果矩阵和辅助数组),空间换时间、计数、定位,高效计算稀疏矩阵的转置。,,,
实体,算法,03ALG036,稀疏矩阵加法（带行指针向量）,中等,"逐行处理两个输入矩阵（M1, M2）。对每一行i，同时遍历M1和M2的第i行链表，按列号合并节点：若列号不同，将列号小的节点复制到结果行链表；若列号相同，将元素值相加，若和不为零则创建新节点加入结果行链表。最后处理某一行链表剩余的节点。",,,"O(t1+t2)，t1, t2分别为两矩阵非零元素数。",O(m + t1 + t2) (结果矩阵和指针向量),归并、按行处理,计算两个使用带行指针向量存储的稀疏矩阵的和。,,,
实体,数据结构,03DS011,广义表,中等,线性表的推广，是n(n>=0)个元素（单元素或子表）的有限序列。定义是递归的，可以表示复杂的树状或嵌套结构。,取决于具体实现（通常是链接）以及元素和嵌套深度。,递归定义、元素可以是原子或子表、可表示复杂结构。,,,,,,,
实体,概念,03CON002,单元素,入门,广义表中的原子性元素，不可再分解，通常是某种确定类型的对象（如数字、字符）。,,,,,,,,,
实体,概念,03CON003,子表,入门,广义表中的表元素，其本身也是一个广义表。,,,,,,,,,
实体,概念,03CON004,空表,入门,不包含任何元素的广义表，长度为0。,,,,,,,,,
实体,概念,03CON005,广义表的长度,入门,广义表中最顶层元素的个数。,,,,,,,,,
实体,概念,03CON006,广义表的深度,入门,广义表中括号嵌套的最大层数。空表深度为1，仅含单元素的表深度为1。,,,,,,,,,
实体,数据结构,03DS012,广义表的链接存储,中等,采用链式结构存储广义表。节点分为单元素节点和子表节点，通过标志位区分。单元素节点包含值域和后继指针；子表节点包含指向子表头结点的指针和后继指针。,O(N)，N为表中原子和子表的总数，每个节点有额外指针和标志位开销。,递归结构体现、动态存储、可以表示复杂嵌套。,,,,,,,
实体,数据结构,03DS013,带表头附加结点的广义表链接存储,中等,在广义表链接存储的基础上，为每个表（包括顶层表和所有子表）增加一个额外的表头节点（通常是tag为true的子表类型节点），其sublist指针指向该表的第一个实际元素节点，next指针通常为空。方便某些操作的统一处理。,O(N+M)，N为原子和子表总数，M为表的数量（包括子表）。,简化某些操作（如空表判断、插入删除），统一表示。,,,,,,,
实体,算法,03ALG037,求广义表长度,中等,计算广义表顶层元素的个数。对于链接存储，即计算顶层链表的节点数。通常使用递归或迭代遍历顶层节点的next指针实现。,,,O(L)，L为广义表长度。,O(L)（递归）或 O(1)（迭代）,遍历（递归或迭代）,获取广义表的顶层元素数量。,,,
实体,算法,03ALG038,求广义表深度,中等,计算广义表中括号嵌套的最大层数。通常使用递归实现：表的深度等于1加上所有子表深度的最大值；空表或只含单元素的表深度为1。,,,O(N)，N为广义表中节点总数。,O(D)，D为广义表深度（递归栈深度）。,递归、深度优先遍历,确定广义表的嵌套层级。,,,
实体,算法,03ALG039,建立广义表存储结构,中等,"根据输入的广义表字符串表示（如'(a,(b,c))'），递归地构建其链接存储结构。遇到'('开始构建子表，遇到字母构建单元素节点，遇到','处理后继节点，遇到')'结束当前层级。",,,O(S)，S为输入字符串长度或节点总数。,O(S) （递归栈深度和节点存储）,递归、解析,从字符串表示创建广义表的内存表示。,,,
实体,算法,03ALG040,打印输出广义表,中等,"将广义表的链接存储结构转换回其字符串表示形式。递归地处理：遇到子表节点先打印'('，递归打印子表，再打印')'；遇到单元素节点打印其值；处理完一个节点后若有后继，打印','并递归处理后继。",,,O(N)，N为广义表中节点总数。,O(D)，D为广义表深度（递归栈深度）。,递归、序列化、深度优先遍历,以可读形式展示广义表的内容。,,,
实体,数据结构,03DS014,数组,入门,一种线性数据结构，用连续的内存空间存储相同类型的数据元素集合。可以通过索引快速访问元素。,O(N)，N为数组大小。,连续存储、随机访问（O(1)）、固定大小（静态数组）。,,,,,,,
实体,数据结构,04DS002,栈,入门,又称堆栈，是一种运算受限的线性表。其限制是仅允许在表的一端（称为栈顶）进行插入（入栈）和删除（出栈）运算，另一端称为栈底。特点是后进先出（LIFO）。常用于表达式求值、括号匹配、递归实现等。,O(n)，n为元素个数,后进先出（LIFO）、单端操作,,,,,,,
实体,数据结构,04DS003,队列,入门,简称队，是一种运算受限的线性表。其限制是仅允许在表的一端（称为队尾）进行插入（入队），而在表的另一端（称为队首）进行删除（出队）。特点是先进先出（FIFO）。常用于广度优先搜索、任务调度、缓冲区管理等。,O(n)，n为元素个数,先进先出（FIFO）、双端操作（一端入、一端出）,,,,,,,
实体,数据结构,04DS004,顺序栈,入门,使用数组（顺序存储结构）实现的栈。通常需要一个数组和一个栈顶指针（top）来指示栈顶元素的位置。插入和删除操作的时间复杂度为O(1)，但可能存在空间溢出问题（栈满）或需要动态扩容。,O(N)，N为预分配数组大小,顺序存储、O(1)操作（无扩容时）、可能栈满,,,,,,,
